738871.654571,18677.00,55.15,35.73
738871.654572,18779.00,49.43,7.81
738871.654573,18880.00,47.34,5.49
738871.654574,18982.00,44.90,14.95
738871.654575,19084.00,45.74,12.62
738871.654577,19185.00,46.33,17.89
738871.654578,19287.00,45.20,10.29
738871.654579,19388.00,45.68,13.09
738871.65458,19489.00,58.72,38.37
738871.654581,19592.00,60.33,42.71
738871.654582,19693.00,60.57,49.38
738871.654584,19794.00,57.89,41.47
738871.654585,19896.00,54.13,32.47
738871.654586,19997.00,51.99,24.72
738871.654587,20099.00,45.86,9.21
738871.654588,20200.00,48.48,11.69
738871.654589,20302.00,44.13,11.53
738871.654591,20404.00,45.02,9.36
738871.654592,20505.00,45.32,6.57
738871.654593,20606.00,48.00,18.36
738871.654594,20708.00,53.00,19.60
738871.654595,20809.00,57.41,47.52
738871.654596,20912.00,59.85,50.00
738871.654598,21013.00,59.32,40.38
738871.654599,21114.00,58.78,36.97
738871.6546,21216.00,50.80,23.01
738871.654601,21317.00,45.98,9.83
738871.654602,21419.00,45.14,9.67
738871.654604,21520.00,43.65,6.88
738871.654605,21622.00,44.49,8.43
738871.654606,21724.00,46.09,9.21
738871.654607,21825.00,48.36,12.31
738871.654608,21926.00,57.47,44.42
738871.654609,22028.00,59.61,47.98
738871.654611,22129.00,56.10,39.61
738871.654612,22231.00,59.02,39.61
738871.654613,22333.00,57.47,45.35
738871.654614,22434.00,51.45,18.98
738871.654615,22536.00,46.81,11.22
738871.654616,22637.00,44.01,14.33
738871.654618,22738.00,45.26,6.88
738871.654619,22840.00,45.32,7.50
738871.65462,22941.00,46.09,9.98
738871.654621,23044.00,49.37,17.74
738871.654622,23145.00,56.75,39.61
738871.654623,23246.00,58.96,46.43
738871.654625,23348.00,59.55,48.76
738871.654626,23449.00,59.32,43.48
738871.654627,23550.00,56.04,34.80
738871.654628,23653.00,48.54,9.52
738871.654629,23754.00,45.02,19.60
738871.654631,23856.00,46.99,16.19
738871.654632,23957.00,43.95,8.12
738871.654633,24058.00,44.13,6.57
738871.654634,24160.00,44.61,6.57
738871.654635,24261.00,47.82,18.98
738871.654636,24364.00,55.92,41.78
738871.654638,24465.00,60.63,45.04
738871.654639,24566.00,57.23,43.02
738871.65464,24668.00,59.85,44.42
738871.654641,24769.00,58.24,36.51
738871.654642,24870.00,51.28,18.82
738871.654643,24973.00,46.87,8.12
738871.654645,25074.00,44.31,7.81
738871.654646,25176.00,47.17,9.36
738871.654647,25277.00,45.02,14.79
738871.654648,25378.00,44.25,8.28
738871.654649,25480.00,47.46,21.31
738871.65465,25581.00,54.91,33.87
738871.654652,25683.00,56.81,45.04
738871.654653,25785.00,59.37,47.98
738871.654654,25886.00,58.12,45.19
738871.654655,25988.00,53.48,21.77
738871.654656,26089.00,51.33,18.05
738871.654658,26190.00,43.83,9.83
738871.654659,26293.00,49.31,10.76
738871.65466,26394.00,44.31,12.93
738871.654661,26496.00,44.90,10.45
738871.654662,26597.00,45.20,15.72
738871.654664,26698.00,46.99,13.40
738871.654665,26800.00,57.77,41.62
738871.654666,26902.00,58.12,41.47
738871.654667,27003.00,56.58,43.80
738871.654668,27105.00,57.23,39.45
738871.654669,27206.00,58.30,44.57
738871.654671,27308.00,46.27,10.29
738871.654672,27409.00,45.38,6.26
738871.654673,27510.00,48.95,14.17
738871.654674,27613.00,44.19,8.12
738871.654675,27714.00,46.63,10.60
738871.654676,27815.00,48.24,15.26
738871.654677,27917.00,51.51,22.08
738871.654679,28018.00,60.63,48.60
738871.65468,28120.00,57.29,42.24
738871.654681,28222.00,58.18,45.66
738871.654682,28323.00,58.66,42.24
738871.654683,28425.00,60.03,41.00
738871.654685,28526.00,49.49,15.88
738871.654686,28627.00,45.20,1.92
738871.654687,28729.00,44.49,8.12
738871.654688,28830.00,46.99,11.38
738871.654689,28933.00,48.12,10.29
738871.65469,29034.00,45.86,14.79
738871.654692,29135.00,51.51,20.69
738871.654693,29237.00,57.59,48.60
738871.654694,29338.00,58.36,38.99
738871.654695,29440.00,58.72,44.26
738871.654696,29542.00,60.51,46.28
738871.654697,29643.00,56.34,36.82
738871.654699,29745.00,47.76,14.48
738871.6547,29846.00,44.13,7.97
738871.654701,29947.00,44.96,7.35
738871.654702,30049.00,45.74,19.91
738871.654703,30151.00,44.72,15.41
738871.654704,30253.00,47.46,12.78
738871.654706,30354.00,49.79,16.96
738871.654707,30455.00,57.83,40.23
738871.654708,30557.00,59.32,49.84
738871.654709,30658.00,58.66,37.90
738871.65471,30760.00,60.33,44.73
738871.654712,30862.00,57.95,40.23
738871.654713,30963.00,49.01,10.45
738871.654714,31065.00,44.96,5.33
738871.654715,31166.00,46.57,9.67
738871.654716,31267.00,48.24,17.58
738871.654718,31369.00,44.07,9.05
738871.654719,31471.00,44.25,10.29
738871.65472,31572.00,48.60,15.88
738871.654721,31674.00,60.63,45.19
738871.654722,31775.00,58.96,38.21
738871.654723,31877.00,59.55,49.69
738871.654725,31978.00,57.17,44.26
738871.654726,32080.00,58.78,35.42
738871.654727,32182.00,50.62,22.24
738871.654728,32283.00,45.74,8.74
738871.654729,32385.00,45.68,12.15
738871.65473,32486.00,48.12,14.79
738871.654732,32587.00,44.37,8.74
738871.654733,32690.00,45.62,9.52
738871.654734,32791.00,46.99,11.53
738871.654735,32892.00,58.78,46.43
738871.654736,32994.00,58.36,38.52
738871.654737,33095.00,58.18,45.50
738871.654739,33197.00,60.80,45.04
738871.65474,33298.00,53.84,36.20
738871.654741,33400.00,52.53,23.01
738871.654742,33502.00,46.69,12.15
738871.654743,33603.00,44.66,11.69
738871.654745,33704.00,46.03,6.42
738871.654746,33806.00,44.43,9.52
738871.654747,33907.00,47.17,12.00
738871.654748,34010.00,47.76,18.05
738871.654749,34111.00,57.41,46.59
738871.65475,34212.00,60.27,47.21
738871.654752,34314.00,57.53,41.16
738871.654753,34415.00,59.32,42.09
738871.654754,34516.00,56.87,39.45
738871.654755,34619.00,49.13,21.93
738871.654756,34720.00,43.95,8.12
738871.654757,34822.00,44.01,6.88
738871.654758,34923.00,47.46,9.52
738871.65476,35024.00,44.72,6.42
738871.654761,35126.00,45.80,6.57
738871.654762,35227.00,45.80,9.21
738871.654763,35329.00,54.79,34.02
738871.654764,35431.00,59.91,46.43
738871.654766,35532.00,57.05,38.68
738871.654767,35634.00,59.61,44.11
738871.654768,35735.00,57.41,41.93
738871.654769,35836.00,51.22,22.55
738871.65477,35938.00,45.38,9.21
738871.654772,36040.00,44.01,7.50
738871.654773,36142.00,44.72,10.14
738871.654774,36243.00,46.39,16.50
738871.654775,36344.00,46.51,11.84
738871.654776,36446.00,47.94,18.98
738871.654777,36547.00,57.17,42.71
738871.654779,36649.00,58.06,45.66
738871.65478,36751.00,57.17,35.89
738871.654781,36852.00,58.60,45.19
738871.654782,36954.00,56.75,38.52
738871.654783,37055.00,50.92,26.42
738871.654784,37156.00,43.71,9.98
738871.654786,37258.00,48.18,15.10
738871.654787,37360.00,44.96,8.59
738871.654788,37462.00,44.43,14.33
738871.654789,37563.00,45.08,8.28
738871.65479,37664.00,47.05,12.31
738871.654791,37766.00,56.69,43.02
738871.654793,37867.00,58.78,35.42
738871.654794,37969.00,58.78,42.55
738871.654795,38071.00,58.72,43.80
738871.654796,38172.00,56.87,35.89
738871.654797,38274.00,50.74,25.34
738871.654799,38375.00,44.07,13.40
738871.6548,38476.00,50.14,14.33
738871.654801,38579.00,48.06,11.53
738871.654802,38680.00,46.39,14.79
738871.654803,38781.00,45.08,12.46
738871.654804,38883.00,45.08,15.26
738871.654806,38984.00,55.74,38.83
738871.654807,39086.00,60.51,47.52
738871.654808,39188.00,59.97,47.05
738871.654809,39289.00,59.14,45.81
738871.65481,39391.00,59.91,41.78
738871.654811,39492.00,48.36,15.10
738871.654813,39593.00,48.66,12.15
738871.654814,39695.00,45.26,6.73
738871.654815,39796.00,45.68,13.40
738871.654816,39899.00,21.92,3.31
738871.654817,40000.00,20.25,6.73
738871.654818,40101.00,25.19,13.86
738871.65482,40203.00,34.84,41.31
738871.654821,40304.00,48.48,81.17
738871.654822,40406.00,59.26,97.61
738871.654823,40508.00,60.92,107.23
738871.654824,40609.00,59.49,105.99
738871.654826,40711.00,46.63,73.88
738871.654827,40812.00,34.78,38.52
738871.654828,40913.00,20.72,0.00
738871.654829,41015.00,20.19,8.28
738871.65483,41117.00,18.88,0.00
738871.654831,41219.00,19.89,7.19
738871.654833,41320.00,26.02,20.22
738871.654834,41421.00,38.00,52.95
738871.654835,41523.00,51.10,82.41
738871.654836,41624.00,60.80,111.42
738871.654837,41725.00,60.92,108.01
738871.654838,41828.00,56.69,100.41
738871.65484,41929.00,48.77,72.80
738871.654841,42031.00,32.22,31.39
738871.654842,42132.00,21.80,9.98
738871.654843,42233.00,20.66,9.67
738871.654844,42335.00,22.21,9.83
738871.654845,42437.00,22.75,7.35
738871.654847,42539.00,29.54,20.06
738871.654848,42640.00,39.48,56.36
738871.654849,42741.00,55.98,95.75
738871.65485,42843.00,60.92,110.64
738871.654851,42944.00,60.92,103.82
738871.654853,43046.00,55.03,99.17
738871.654854,43148.00,46.03,65.35
738871.654855,43249.00,33.35,30.30
738871.654856,43351.00,21.20,5.49
738871.654857,43452.00,20.66,0.00
738871.654858,43553.00,18.64,0.00
738871.65486,43655.00,21.08,6.73
738871.654861,43756.00,29.24,23.48
738871.654862,43858.00,40.08,56.98
738871.654863,43960.00,54.37,88.93
738871.654864,44061.00,60.92,111.88
738871.654865,44163.00,60.92,109.25
738871.654867,44264.00,58.12,99.01
738871.654868,44366.00,45.80,66.13
738871.654869,44468.00,31.27,34.33
738871.65487,44569.00,20.90,0.00
738871.654871,44670.00,21.20,4.86
738871.654872,44772.00,19.47,0.00
738871.654874,44873.00,23.70,9.67
738871.654875,44975.00,29.12,23.94
738871.654876,45076.00,41.57,53.41
738871.654877,45178.00,54.07,93.74
738871.654878,45280.00,60.92,113.44
738871.65488,45381.00,59.97,108.63
738871.654881,45483.00,57.23,97.46
738871.654882,45584.00,45.32,63.80
738871.654883,45686.00,31.68,32.78
738871.654884,45788.00,21.08,0.00
738871.654885,45889.00,23.52,3.62
738871.654887,45990.00,22.21,6.88
738871.654888,46092.00,22.21,8.59
738871.654889,46193.00,28.23,27.82
738871.65489,46295.00,44.96,60.39
738871.654891,46397.00,54.79,89.55
738871.654892,46498.00,60.92,110.33
738871.654894,46600.00,60.86,108.01
738871.654895,46701.00,58.12,95.75
738871.654896,46802.00,45.20,65.66
738871.654897,46904.00,30.79,25.80
738871.654898,47006.00,19.71,9.36
738871.654899,47108.00,21.14,0.00
738871.654901,47209.00,20.66,3.62
738871.654902,47310.00,21.14,3.62
738871.654903,47412.00,30.37,32.47
738871.654904,47513.00,41.57,64.11
738871.654905,47614.00,57.23,97.61
738871.654907,47717.00,60.92,114.99
738871.654908,47818.00,60.33,104.90
738871.654909,47920.00,56.34,96.68
738871.65491,48021.00,44.19,62.56
738871.654911,48122.00,29.06,25.49
738871.654912,48224.00,18.88,0.00
738871.654914,48326.00,21.20,9.36
738871.654915,48428.00,19.12,9.05
738871.654916,48529.00,22.33,15.26
738871.654917,48630.00,31.68,35.89
738871.654918,48732.00,42.70,68.77
738871.654919,48833.00,56.75,99.32
738871.654921,48935.00,60.92,107.70
738871.654922,49037.00,60.92,108.16
738871.654923,49138.00,54.07,89.24
738871.654924,49240.00,45.92,60.70
738871.654925,49341.00,28.29,20.22
738871.654927,49442.00,21.44,4.09
738871.654928,49545.00,20.55,2.23
738871.654929,49646.00,20.72,6.57
738871.65493,49747.00,22.87,12.00
738871.654931,49849.00,32.75,36.51
738871.654932,49950.00,45.74,77.76
738871.654934,50052.00,56.52,100.56
738871.654935,50153.00,60.74,110.95
738871.654936,50255.00,60.92,105.84
738871.654937,50357.00,51.99,84.59
738871.654938,50458.00,42.52,57.91
738871.654939,50560.00,26.20,11.69
738871.654941,50661.00,22.27,2.85
738871.654942,50763.00,21.26,4.09
738871.654943,50865.00,21.86,5.95
738871.654944,50966.00,23.94,19.13
738871.654945,51067.00,32.81,39.92
